@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
483,'2023/12/05 09:10:01:749',6,-200,?,?
484,'2023/12/05 09:10:01:800',6,-200,?,?
485,'2023/12/05 09:10:01:854',6,-200,?,?
486,'2023/12/05 09:10:01:913',6,-200,?,?
487,'2023/12/05 09:10:01:957',6,-200,?,?
488,'2023/12/05 09:10:02:015',6,-200,?,?
489,'2023/12/05 09:10:02:059',6,-200,?,?
490,'2023/12/05 09:10:02:115',6,-200,?,?
491,'2023/12/05 09:10:02:168',6,-200,?,?
492,'2023/12/05 09:10:02:221',6,-200,?,?
493,'2023/12/05 09:10:02:273',6,-200,?,?
494,'2023/12/05 09:10:02:329',6,-200,?,?
495,'2023/12/05 09:10:02:381',6,-200,?,?
496,'2023/12/05 09:10:02:436',6,-200,?,?
497,'2023/12/05 09:10:02:489',6,-200,?,?
498,'2023/12/05 09:10:02:538',6,-205,?,?
499,'2023/12/05 09:10:02:597',6,-205,?,?
500,'2023/12/05 09:10:02:658',6,-205,?,?
501,'2023/12/05 09:10:02:704',6,-205,?,?
502,'2023/12/05 09:10:02:757',6,-205,?,?
503,'2023/12/05 09:10:02:807',6,-205,?,?
504,'2023/12/05 09:10:02:865',6,-205,?,?
505,'2023/12/05 09:10:02:935',6,-205,?,?
506,'2023/12/05 09:10:02:984',6,-205,?,?
507,'2023/12/05 09:10:03:042',6,-205,?,?
508,'2023/12/05 09:10:03:096',6,-205,?,?
509,'2023/12/05 09:10:03:146',6,-205,?,?
510,'2023/12/05 09:10:03:206',6,-205,?,?
